"age","totals","ï..HPNHMOBronze87000VirtualHPN","HPNHMOBronze82500","HPNHMOBronze40855030","HPNHMOBronze25685040","HPNHMOBronze4585500","HPNHMOSilver3060000","HPNHMOSilver10300030","HPNHMOSilver353500IP","HPNHMOGold25100030","HPNHMOGold3050030","HPNHMOGold201000IP","HPNHMOGold252000IP","HPNHMOGold101000IP","HPNHMOPlatinum15010"
"0 - 14",0,218.99,221.45,225.62,233.98,249.71,255.68,294.66,318.16,362.03,363.09,365.74,366.36,382.02,422.57
"15",0,238.46,241.13,245.68,254.78,271.9,278.41,320.85,346.44,394.21,395.36,398.25,398.93,415.98,460.13
"16",0,245.9,248.66,253.34,262.73,280.39,287.1,330.87,357.26,406.51,407.7,410.68,411.38,428.96,474.49
"17",0,253.34,256.18,261.01,270.68,288.88,295.79,340.88,368.07,418.81,420.04,423.11,423.83,441.94,488.85
"18",0,261.36,264.29,269.27,279.25,298.02,305.14,351.67,379.71,432.07,433.33,436.49,437.24,455.92,504.32
"19",0,269.37,272.39,277.53,287.81,307.15,314.5,362.45,391.36,445.32,446.62,449.88,450.65,469.91,519.79
"20",0,277.67,280.79,286.08,296.68,316.62,324.19,373.62,403.42,459.04,460.39,463.74,464.54,484.39,535.81
"21",0,286.26,289.47,294.93,305.86,326.41,334.22,385.18,415.9,473.24,474.62,478.09,478.9,499.37,552.38
"22",0,286.26,289.47,294.93,305.86,326.41,334.22,385.18,415.9,473.24,474.62,478.09,478.9,499.37,552.38
"23",0,286.26,289.47,294.93,305.86,326.41,334.22,385.18,415.9,473.24,474.62,478.09,478.9,499.37,552.38
"24",0,286.26,289.47,294.93,305.86,326.41,334.22,385.18,415.9,473.24,474.62,478.09,478.9,499.37,552.38
"25",0,287.41,290.63,296.11,307.08,327.72,335.56,386.72,417.56,475.13,476.52,480,480.82,501.37,554.59
"26",0,293.13,296.42,302.01,313.2,334.25,342.24,394.42,425.88,484.59,486.02,489.56,490.4,511.36,565.63
"27",0,300,303.37,309.09,320.54,342.08,350.26,403.67,435.86,495.95,497.41,501.03,501.89,523.34,578.89
"28",0,311.17,314.66,320.59,332.46,354.81,363.3,418.69,452.08,514.41,515.92,519.68,520.57,542.82,600.43
"29",0,320.33,323.92,330.03,342.25,365.26,373.99,431.02,465.39,529.55,531.1,534.98,535.89,558.8,618.11
"30",0,324.91,328.55,334.74,347.15,370.48,379.34,437.18,472.04,537.12,538.7,542.63,543.56,566.79,626.95
"31",0,331.78,335.5,341.82,354.49,378.31,387.36,446.42,482.03,548.48,550.09,554.1,555.05,578.77,640.2
"32",0,338.65,342.45,348.9,361.83,386.15,395.38,455.67,492.01,559.84,561.48,565.58,566.54,590.75,653.46
"33",0,342.94,346.79,353.33,366.41,391.04,400.4,461.45,498.25,566.94,568.6,572.75,573.73,598.25,661.75
"34",0,347.52,351.42,358.04,371.31,396.27,405.74,467.61,504.9,574.51,576.19,580.4,581.39,606.24,670.58
"35",0,349.81,353.74,360.4,373.76,398.88,408.42,470.69,508.23,578.3,579.99,584.22,585.22,610.23,675
"36",0,352.1,356.05,362.76,376.2,401.49,411.09,473.77,511.55,582.08,583.79,588.05,589.05,614.23,679.42
"37",0,354.39,358.37,365.12,378.65,404.1,413.77,476.85,514.88,585.87,587.58,591.87,592.88,618.22,683.84
"38",0,356.68,360.68,367.48,381.1,406.71,416.44,479.93,518.21,589.65,591.38,595.69,596.72,622.22,688.26
"39",0,361.26,365.31,372.2,385.99,411.93,421.79,486.1,524.86,597.23,598.98,603.34,604.38,630.21,697.1
"40",0,365.84,369.95,376.92,390.88,417.16,427.13,492.26,531.52,604.8,606.57,610.99,612.04,638.2,705.94
"41",0,372.71,376.89,384,398.22,424.99,435.16,501.5,541.5,616.15,617.96,622.47,623.53,650.18,719.19
"42",0,379.3,383.55,390.78,405.26,432.5,442.84,510.36,551.06,627.04,628.88,633.46,634.55,661.67,731.9
"43",0,388.46,392.81,400.22,415.05,442.94,453.54,522.69,564.37,642.18,644.07,648.76,649.87,677.65,749.57
"44",0,399.91,404.39,412.02,427.28,456,466.91,538.1,581.01,661.11,663.05,667.89,669.03,697.62,771.67
"45",0,413.36,418,425.88,441.66,471.34,482.62,556.2,600.56,683.35,685.36,690.36,691.54,721.09,797.63
"46",0,429.39,434.21,442.39,458.78,489.62,501.33,577.77,623.85,709.86,711.94,717.13,718.36,749.06,828.56
"47",0,447.43,452.45,460.97,478.05,510.18,522.39,602.04,650.05,739.67,741.84,747.25,748.53,780.52,863.36
"48",0,468.04,473.29,482.21,500.07,533.69,546.45,629.77,679.99,773.74,776.01,781.67,783.01,816.47,903.14
"49",0,488.36,493.84,503.15,521.79,556.86,570.18,657.12,709.52,807.34,809.71,815.61,817.01,851.93,942.35
"50",0,511.26,517,526.74,546.26,582.97,596.92,687.93,742.79,845.2,847.68,853.86,855.32,891.88,986.54
"51",0,533.88,539.87,550.04,570.42,608.76,623.32,718.36,775.65,882.59,885.17,891.63,893.16,931.33,1030.18
"52",0,558.78,565.05,575.7,597.03,637.16,652.4,751.87,811.83,923.76,926.47,933.22,934.82,974.77,1078.24
"53",0,583.97,590.52,601.66,623.95,665.88,681.81,785.77,848.43,965.4,968.23,975.3,976.97,1018.72,1126.85
"54",0,611.17,618.02,629.67,653,696.89,713.56,822.36,887.94,1010.36,1013.32,1020.71,1022.46,1066.16,1179.32
"55",0,638.36,645.52,657.69,682.06,727.9,745.31,858.95,927.45,1055.32,1058.41,1066.13,1067.96,1113.6,1231.8
"56",0,667.85,675.34,688.07,713.56,761.52,779.74,898.62,970.29,1104.06,1107.3,1115.37,1117.29,1165.03,1288.69
"57",0,697.62,705.45,718.74,745.37,795.47,814.5,938.68,1013.54,1153.28,1156.66,1165.1,1167.09,1216.97,1346.14
"58",0,729.4,737.58,751.48,779.32,831.7,851.6,981.44,1059.71,1205.81,1209.34,1218.16,1220.25,1272.4,1407.45
"59",0,745.14,753.5,767.7,796.14,849.65,869.98,1002.62,1082.58,1231.84,1235.45,1244.46,1246.59,1299.86,1437.84
"60",0,776.92,785.63,800.44,830.09,885.89,907.08,1045.38,1128.75,1284.37,1288.13,1297.52,1299.75,1355.29,1499.15
"61",0,804.4,813.42,828.75,859.45,917.22,939.16,1082.36,1168.67,1329.8,1333.69,1343.42,1345.72,1403.23,1552.18
"62",0,822.43,831.66,847.33,878.72,937.79,960.22,1106.62,1194.87,1359.61,1363.6,1373.54,1375.89,1434.69,1586.98
"63",0,845.05,854.52,870.63,902.89,963.57,986.62,1137.05,1227.73,1397,1401.09,1411.31,1413.73,1474.14,1630.61
"64",0,858.76,868.39,884.76,917.54,979.21,1002.63,1155.5,1247.65,1419.66,1423.83,1434.21,1436.67,1498.06,1657.07
"65+",0,858.76,868.39,884.76,917.54,979.21,1002.63,1155.5,1247.65,1419.66,1423.83,1434.21,1436.67,1498.06,1657.07
