"age","totals","ï..HPNPOSSilver35500300030","HPNPOSSilver352500IP","HPNPOSGold250150020","HPNPOSGold25050020","HPNPOSGold150100020"
"0 - 14",0,297.72,315.85,380.73,381.15,385.08
"15",0,324.19,343.92,414.58,415.03,419.31
"16",0,334.31,354.66,427.52,427.98,432.4
"17",0,344.43,365.39,440.46,440.94,445.49
"18",0,355.32,376.95,454.39,454.89,459.58
"19",0,366.22,388.51,468.33,468.84,473.67
"20",0,377.51,400.49,482.76,483.29,488.27
"21",0,389.18,412.87,497.69,498.23,503.37
"22",0,389.18,412.87,497.69,498.23,503.37
"23",0,389.18,412.87,497.69,498.23,503.37
"24",0,389.18,412.87,497.69,498.23,503.37
"25",0,390.74,414.52,499.68,500.23,505.39
"26",0,398.52,422.78,509.64,510.19,515.45
"27",0,407.86,432.69,521.58,522.15,527.54
"28",0,423.04,448.79,540.99,541.58,547.17
"29",0,435.5,462,556.92,557.52,563.27
"30",0,441.72,468.61,564.88,565.5,571.33
"31",0,451.06,478.52,576.83,577.45,583.41
"32",0,460.4,488.43,588.77,589.41,595.49
"33",0,466.24,494.62,596.24,596.88,603.04
"34",0,472.47,501.23,604.2,604.86,611.1
"35",0,475.58,504.53,608.18,608.84,615.12
"36",0,478.7,507.83,612.16,612.83,619.15
"37",0,481.81,511.14,616.14,616.81,623.18
"38",0,484.92,514.44,620.12,620.8,627.2
"39",0,491.15,521.04,628.09,628.77,635.26
"40",0,497.38,527.65,636.05,636.74,643.31
"41",0,506.72,537.56,648,648.7,655.39
"42",0,515.67,547.06,659.44,660.16,666.97
"43",0,528.12,560.27,675.37,676.1,683.08
"44",0,543.69,576.78,695.28,696.03,703.21
"45",0,561.98,596.19,718.67,719.45,726.87
"46",0,583.77,619.31,746.54,747.35,755.06
"47",0,608.29,645.32,777.89,778.74,786.77
"48",0,636.31,675.05,813.73,814.61,823.02
"49",0,663.95,704.36,849.06,849.99,858.76
"50",0,695.08,737.39,888.88,889.85,899.02
"51",0,725.83,770.01,928.2,929.21,938.79
"52",0,759.69,805.93,971.5,972.55,982.58
"53",0,793.93,842.26,1015.29,1016.4,1026.88
"54",0,830.91,881.48,1062.57,1063.73,1074.7
"55",0,867.88,920.7,1109.85,1111.06,1122.52
"56",0,907.96,963.23,1161.12,1162.38,1174.37
"57",0,948.44,1006.17,1212.88,1214.2,1226.72
"58",0,991.64,1052,1268.12,1269.5,1282.6
"59",0,1013.04,1074.71,1295.49,1296.9,1310.28
"60",0,1056.24,1120.53,1350.74,1352.21,1366.16
"61",0,1093.6,1160.17,1398.52,1400.04,1414.48
"62",0,1118.12,1186.18,1429.87,1431.43,1446.19
"63",0,1148.87,1218.8,1469.19,1470.79,1485.96
"64",0,1167.51,1238.57,1493.03,1494.65,1510.07
"65+",0,1167.51,1238.57,1493.03,1494.65,1510.07
