"age","totals","ï..HometownHealthBronzePPOHDHP","HometownHealthBronzePPOD9100","HometownHealthBronzePPO","HometownHealthSilverPPOHDHP","HometownHealthSilverPPO","HometownHealthGoldPPO","HometownHealthGoldXPPO"
"0 - 14",0,235.61,219.46,261.2,250.84,280.29,319.72,338.46
"15",0,256.55,238.97,284.42,273.14,305.21,348.14,368.55
"16",0,264.56,246.43,293.29,281.67,314.73,359.01,380.05
"17",0,272.57,253.88,302.17,290.19,324.26,369.87,391.55
"18",0,281.19,261.92,311.73,299.37,334.52,381.58,403.94
"19",0,289.82,269.95,321.29,308.55,344.78,393.28,416.33
"20",0,298.75,278.27,331.19,318.06,355.4,405.4,429.16
"21",0,307.99,286.87,341.44,327.9,366.39,417.94,442.43
"22",0,307.99,286.87,341.44,327.9,366.39,417.94,442.43
"23",0,307.99,286.87,341.44,327.9,366.39,417.94,442.43
"24",0,307.99,286.87,341.44,327.9,366.39,417.94,442.43
"25",0,309.22,288.02,342.8,329.21,367.86,419.61,444.2
"26",0,315.38,293.76,349.63,335.77,375.19,427.97,453.05
"27",0,322.77,300.64,357.82,343.64,383.98,438,463.67
"28",0,334.78,311.83,371.14,356.43,398.27,454.3,480.92
"29",0,344.64,321.01,382.07,366.92,409.99,467.67,495.08
"30",0,349.56,325.6,387.53,372.16,415.86,474.36,502.16
"31",0,356.96,332.49,395.72,380.03,424.65,484.39,512.78
"32",0,364.35,339.37,403.92,387.9,433.44,494.42,523.4
"33",0,368.97,343.67,409.04,392.82,438.94,500.69,530.03
"34",0,373.89,348.26,414.5,398.07,444.8,507.37,537.11
"35",0,376.36,350.56,417.23,400.69,447.73,510.72,540.65
"36",0,378.82,352.85,419.97,403.31,450.66,514.06,544.19
"37",0,381.29,355.15,422.7,405.94,453.59,517.4,547.73
"38",0,383.75,357.44,425.43,408.56,456.53,520.75,551.27
"39",0,388.68,362.03,430.89,413.81,462.39,527.44,558.35
"40",0,393.61,366.62,436.35,419.05,468.25,534.12,565.43
"41",0,401,373.51,444.55,426.92,477.04,544.15,576.05
"42",0,408.08,380.11,452.4,434.46,485.47,553.76,586.22
"43",0,417.94,389.29,463.33,444.96,497.2,567.14,600.38
"44",0,430.26,400.76,476.98,458.07,511.85,583.86,618.08
"45",0,444.73,414.24,493.03,473.48,529.07,603.5,638.87
"46",0,461.98,430.31,512.15,491.85,549.59,626.9,663.65
"47",0,481.38,448.38,533.66,512.5,572.67,653.23,691.52
"48",0,503.55,469.04,558.24,536.11,599.05,683.32,723.38
"49",0,525.42,489.4,582.49,559.39,625.06,713,754.79
"50",0,550.06,512.35,609.8,585.62,654.38,746.43,790.18
"51",0,574.39,535.02,636.77,611.53,683.32,779.45,825.13
"52",0,601.18,559.97,666.48,640.05,715.2,815.81,863.62
"53",0,628.29,585.22,696.52,668.91,747.44,852.59,902.56
"54",0,657.55,612.47,728.96,700.06,782.25,892.29,944.59
"55",0,686.8,639.72,761.4,731.21,817.05,931.99,986.62
"56",0,718.53,669.27,796.56,764.98,854.79,975.04,1032.19
"57",0,750.56,699.11,832.07,799.08,892.9,1018.51,1078.2
"58",0,784.74,730.95,869.97,835.48,933.56,1064.9,1127.31
"59",0,801.68,746.73,888.75,853.51,953.72,1087.88,1151.65
"60",0,835.87,778.57,926.65,889.91,994.39,1134.27,1200.76
"61",0,865.43,806.11,959.43,921.39,1029.56,1174.39,1243.23
"62",0,884.84,824.18,980.94,942.04,1052.64,1200.72,1271.1
"63",0,909.17,846.84,1007.91,967.95,1081.59,1233.74,1306.05
"64",0,923.94,860.6,1024.29,983.68,1099.16,1253.79,1327.28
"65+",0,923.94,860.6,1024.29,983.68,1099.16,1253.79,1327.28
