"age","totals","ï..SHLPPOHSABronze68500","SHLPPOHSASilver1545000","SHLPPOHSASilver2038000","SHLPPOHSASilver350030","SHLPPOHSASilver1530000","SHLPPOHSAGold300010"
"0 - 14",0,232.33,242.87,256.62,258.45,279.99,323.52
"15",0,252.98,264.46,279.43,281.42,304.88,352.28
"16",0,260.87,272.71,288.15,290.2,314.39,363.28
"17",0,268.77,280.97,296.87,298.99,323.91,374.27
"18",0,277.27,289.86,306.27,308.45,334.16,386.11
"19",0,285.78,298.74,315.66,317.91,344.41,397.96
"20",0,294.58,307.95,325.39,327.7,355.02,410.22
"21",0,303.69,317.48,335.45,337.84,366,422.91
"22",0,303.69,317.48,335.45,337.84,366,422.91
"23",0,303.69,317.48,335.45,337.84,366,422.91
"24",0,303.69,317.48,335.45,337.84,366,422.91
"25",0,304.91,318.75,336.79,339.19,367.46,424.6
"26",0,310.98,325.1,343.5,345.95,374.78,433.06
"27",0,318.27,332.71,351.55,354.05,383.57,443.21
"28",0,330.11,345.1,364.63,367.23,397.84,459.7
"29",0,339.83,355.26,375.37,378.04,409.55,473.23
"30",0,344.69,360.34,380.74,383.45,415.41,480
"31",0,351.98,367.95,388.79,391.55,424.19,490.15
"32",0,359.27,375.57,396.84,399.66,432.98,500.3
"33",0,363.82,380.34,401.87,404.73,438.47,506.64
"34",0,368.68,385.42,407.24,410.14,444.32,513.41
"35",0,371.11,387.96,409.92,412.84,447.25,516.79
"36",0,373.54,390.5,412.6,415.54,450.18,520.18
"37",0,375.97,393.04,415.29,418.24,453.11,523.56
"38",0,378.4,395.58,417.97,420.95,456.04,526.94
"39",0,383.26,400.65,423.34,426.35,461.89,533.71
"40",0,388.12,405.73,428.71,431.76,467.75,540.48
"41",0,395.41,413.35,436.76,439.87,476.53,550.63
"42",0,402.39,420.66,444.47,447.64,484.95,560.35
"43",0,412.11,430.81,455.21,458.45,496.66,573.89
"44",0,424.26,443.51,468.62,471.96,511.3,590.8
"45",0,438.53,458.44,484.39,487.84,528.5,610.68
"46",0,455.54,476.21,503.18,506.76,549,634.36
"47",0,474.67,496.22,524.31,528.04,572.06,661
"48",0,496.54,519.07,548.46,552.37,598.41,691.45
"49",0,518.1,541.61,572.28,576.35,624.4,721.48
"50",0,542.4,567.01,599.11,603.38,653.68,755.31
"51",0,566.39,592.09,625.61,630.07,682.59,788.72
"52",0,592.81,619.71,654.8,659.46,714.43,825.52
"53",0,619.53,647.65,684.32,689.19,746.64,862.73
"54",0,648.39,677.81,716.19,721.28,781.41,902.91
"55",0,677.24,707.97,748.05,753.38,816.18,943.08
"56",0,708.52,740.67,782.61,788.18,853.88,986.64
"57",0,740.1,773.69,817.49,823.31,891.94,1030.63
"58",0,773.81,808.93,854.73,860.81,932.57,1077.57
"59",0,790.51,826.39,873.18,879.39,952.7,1100.83
"60",0,824.22,861.63,910.41,916.89,993.32,1147.77
"61",0,853.38,892.11,942.62,949.33,1028.46,1188.37
"62",0,872.51,912.11,963.75,970.61,1051.52,1215.01
"63",0,896.5,937.19,990.25,997.3,1080.43,1248.42
"64",0,911.05,952.4,1006.32,1013.48,1097.96,1268.68
"65+",0,911.05,952.4,1006.32,1013.48,1097.96,1268.68
