"age","totals","ï..BronzeChoicePlusConsumer8550100CWPI","BronzeChoicePlusHSAwRewards6850100CWPG","BronzeChoicePlusBalanced60850060CWPV","BronzeChoicePlusConsumer750060CWPM","SilverChoicePlusBalanced45700060CWPL","SilverChoicePlusAdvanced30650080CWP2","SilverChoicePlusDirectwCareCash50700070CWP6","SilverChoicePlusBalanced35400070CWPK","SilverChoicePlusDirect45500070CWP8","SilverChoicePlusBalanced40500070CWPX","SilverChoicePlusDirectwCareCash50500070CWP5","SilverChoicePlusBalanced45350070CWPT","SilverChoicePlusAdvanced30300080CWPZ","SilverChoicePlusDirectwCareCash50350070CWP4","SilverChoicePlusDirect45350070CWP7","SilverChoicePlusHSAwRewardsSilver5000100CWPH","SilverChoicePlusHSAwRewards285080CWPP","SilverChoicePlusHSAwRewards350080CWPQ","SilverChoicePlusHSAwRewards4250100CWPR","SilverChoicePlusHSAwRewards300080CWPN","GoldChoicePlusBalanced300080CWPU","GoldChoicePlusBalanced30300080CPJD","GoldChoicePlusDirect35200080CPJQ","GoldChoicePlusAdvanced15100075CWP9","GoldChoicePlusDirectwCareCash40200080CWP3","GoldChoicePlusDirect30150080CPJP","GoldChoicePlusBalanced200080CPJF","GoldChoicePlusDirect30100080CWPY","GoldChoicePlusBalanced35200080CPJO","GoldChoicePlusBalanced30100080CPJN","GoldChoicePlusBalanced25150080CPI5","GoldChoicePlusHSAwRewards175080CWPS","GoldChoicePlusBalanced100080CPJE","GoldChoicePlusTraditiionalwDed3550080CPI4","PlatinumChoicePlusTraditiionalwDed1550080CWPO","PlatinumChoicePlusTraditiionalwDed2025090CPOJ","PlatinumChoicePlusTraditiionalwDed1010090CWPJ","SilverNonDifferentialPPO350080CWPW"
"0 - 14",0,239.61,252.48,254.42,254.97,262.03,263.52,266.8,267.9,267.9,268.19,270.73,270.98,272.17,274.85,275.84,278.53,290.76,291.11,295.73,299.61,295.88,302.49,304.88,310.2,310.44,313.23,313.83,318.9,320.04,324.51,325.61,325.86,326.1,329.68,364.78,373.43,380.29,608.07
"15",0,260.9,274.92,277.04,277.63,285.32,286.94,290.52,291.71,291.71,292.03,294.79,295.07,296.36,299.28,300.36,303.29,316.61,316.98,322.02,326.24,322.18,329.38,331.98,337.77,338.04,341.07,341.72,347.24,348.49,353.36,354.55,354.82,355.09,358.99,397.21,406.62,414.09,662.12
"16",0,269.05,283.5,285.69,286.3,294.22,295.9,299.58,300.81,300.81,301.15,303.99,304.27,305.62,308.62,309.74,312.75,326.49,326.88,332.07,336.43,332.24,339.66,342.34,348.32,348.59,351.72,352.39,358.08,359.36,364.39,365.62,365.9,366.17,370.19,409.61,419.31,427.02,682.78
"17",0,277.19,292.09,294.33,294.96,303.13,304.86,308.65,309.92,309.92,310.26,313.19,313.48,314.87,317.96,319.11,322.22,336.37,336.77,342.12,346.61,342.29,349.94,352.7,358.86,359.14,362.36,363.05,368.92,370.24,375.42,376.68,376.97,377.26,381.4,422,432,439.94,703.45
"18",0,285.96,301.33,303.65,304.29,312.72,314.5,318.42,319.72,319.72,320.08,323.1,323.4,324.83,328.02,329.21,332.41,347.01,347.42,352.95,357.58,353.12,361.01,363.86,370.21,370.5,373.83,374.54,380.59,381.95,387.29,388.6,388.9,389.19,393.47,435.35,445.67,453.86,725.71
"19",0,294.73,310.57,312.96,313.63,322.31,324.15,328.18,329.53,329.53,329.9,333.01,333.32,334.79,338.08,339.31,342.61,357.66,358.08,363.77,368.54,363.95,372.08,375.02,381.57,381.87,385.29,386.03,392.27,393.67,399.17,400.52,400.83,401.13,405.53,448.71,459.34,467.78,747.96
"20",0,303.81,320.14,322.6,323.29,332.24,334.14,338.3,339.68,339.68,340.06,343.27,343.59,345.11,348.5,349.76,353.17,368.68,369.11,374.98,379.9,375.17,383.55,386.57,393.33,393.64,397.17,397.92,404.35,405.8,411.47,412.86,413.18,413.49,418.03,462.53,473.5,482.2,771.01
"21",0,313.21,330.04,332.58,333.29,342.52,344.47,348.76,350.19,350.19,350.58,353.89,354.22,355.78,359.28,360.58,364.09,380.08,380.53,386.58,391.65,386.77,395.41,398.53,405.49,405.81,409.45,410.23,416.86,418.35,424.2,425.63,425.96,426.28,430.96,476.84,488.14,497.11,794.86
"22",0,313.21,330.04,332.58,333.29,342.52,344.47,348.76,350.19,350.19,350.58,353.89,354.22,355.78,359.28,360.58,364.09,380.08,380.53,386.58,391.65,386.77,395.41,398.53,405.49,405.81,409.45,410.23,416.86,418.35,424.2,425.63,425.96,426.28,430.96,476.84,488.14,497.11,794.86
"23",0,313.21,330.04,332.58,333.29,342.52,344.47,348.76,350.19,350.19,350.58,353.89,354.22,355.78,359.28,360.58,364.09,380.08,380.53,386.58,391.65,386.77,395.41,398.53,405.49,405.81,409.45,410.23,416.86,418.35,424.2,425.63,425.96,426.28,430.96,476.84,488.14,497.11,794.86
