"age","totals","ï..Silver.Choice.EPO.4000.20..7000.w.H.S.A...733G.","Silver.Choice.EPO.5000.20..5500.w.H.S.A...732A.","Silver.Choice.EPO.6000.30..9100..7321.","Silver.Choice.EPO.5000.30..9100..732C.","Silver.Choice.EPO.4000.30..9100..7324.","Silver.Choice.EPO.3000.30..9100..731V.","Gold.Choice.EPO.2000.20..6500..7337.","Gold.Choice.EPO.1000.20..8000..732G."
"0 - 14",0,256.75,266.89,277.04,279.97,281.93,282.62,323.13,326.52
"15",0,279.57,290.62,301.66,304.85,306.99,307.74,351.85,355.55
"16",0,288.3,299.69,311.08,314.37,316.57,317.35,362.83,366.65
"17",0,297.02,308.76,320.49,323.88,326.15,326.95,373.82,377.74
"18",0,306.42,318.53,330.63,334.13,336.47,337.3,385.64,389.7
"19",0,315.82,328.3,340.77,344.38,346.79,347.64,397.47,401.65
"20",0,325.55,338.41,351.28,354.99,357.47,358.36,409.72,414.03
"21",0,335.62,348.88,362.14,365.97,368.53,369.44,422.39,426.83
"22",0,335.62,348.88,362.14,365.97,368.53,369.44,422.39,426.83
"23",0,335.62,348.88,362.14,365.97,368.53,369.44,422.39,426.83
"24",0,335.62,348.88,362.14,365.97,368.53,369.44,422.39,426.83
"25",0,336.96,350.28,363.59,367.43,370,370.92,424.08,428.54
"26",0,343.67,357.25,370.83,374.75,377.37,378.31,432.53,437.07
"27",0,351.73,365.63,379.52,383.54,386.22,387.17,442.66,447.32
"28",0,364.82,379.23,393.65,397.81,400.59,401.58,459.14,463.96
"29",0,375.56,390.4,405.23,409.52,412.39,413.4,472.65,477.62
"30",0,380.93,395.98,411.03,415.38,418.28,419.31,479.41,484.45
"31",0,388.98,404.35,419.72,424.16,427.13,428.18,489.55,494.7
"32",0,397.04,412.73,428.41,432.94,435.97,437.05,499.69,504.94
"33",0,402.07,417.96,433.84,438.43,441.5,442.59,506.02,511.34
"34",0,407.44,423.54,439.64,444.29,447.4,448.5,512.78,518.17
"35",0,410.13,426.33,442.54,447.22,450.34,451.46,516.16,521.59
"36",0,412.81,429.12,445.43,450.14,453.29,454.41,519.54,525
"37",0,415.5,431.91,448.33,453.07,456.24,457.37,522.92,528.42
"38",0,418.18,434.7,451.23,456,459.19,460.32,526.3,531.83
"39",0,423.55,440.29,457.02,461.85,465.08,466.23,533.06,538.66
"40",0,428.92,445.87,462.81,467.71,470.98,472.14,539.81,545.49
"41",0,436.98,454.24,471.51,476.49,479.83,481.01,549.95,555.73
"42",0,444.7,462.27,479.84,484.91,488.3,489.51,559.67,565.55
"43",0,455.44,473.43,491.42,496.62,500.1,501.33,573.18,579.21
"44",0,468.86,487.39,505.91,511.26,514.84,516.11,590.08,596.28
"45",0,484.64,503.78,522.93,528.46,532.16,533.47,609.93,616.34
"46",0,503.43,523.32,543.21,548.96,552.8,554.16,633.59,640.25
"47",0,524.57,545.3,566.02,572.01,576.01,577.43,660.2,667.14
"48",0,548.74,570.42,592.1,598.36,602.55,604.03,690.61,697.87
"49",0,572.57,595.19,617.81,624.34,628.71,630.26,720.6,728.17
"50",0,599.42,623.1,646.78,653.62,658.19,659.82,754.39,762.32
"51",0,625.93,650.66,675.39,682.53,687.31,689.01,787.76,796.04
"52",0,655.13,681.01,706.9,714.37,719.37,721.15,824.51,833.17
"53",0,684.66,711.72,738.77,746.58,751.8,753.66,861.68,870.73
"54",0,716.55,744.86,773.17,781.35,786.81,788.75,901.8,911.28
"55",0,748.43,778,807.57,816.11,821.82,823.85,941.93,951.83
"56",0,783,813.94,844.87,853.81,859.78,861.9,985.44,995.79
"57",0,817.91,850.22,882.54,891.87,898.11,900.33,1029.36,1040.18
"58",0,855.16,888.95,922.73,932.49,939.01,941.33,1076.25,1087.56
"59",0,873.62,908.13,942.65,952.62,959.28,961.65,1099.48,1111.04
"60",0,910.87,946.86,982.85,993.24,1000.19,1002.66,1146.37,1158.42
"61",0,943.09,980.35,1017.61,1028.38,1035.57,1038.13,1186.92,1199.39
"62",0,964.24,1002.33,1040.43,1051.43,1058.79,1061.4,1213.53,1226.28
"63",0,990.75,1029.89,1069.04,1080.34,1087.9,1090.59,1246.9,1260
"64",0,1006.86,1046.64,1086.42,1097.91,1105.59,1108.32,1267.17,1280.49
"65+",0,1006.86,1046.64,1086.42,1097.91,1105.59,1108.32,1267.17,1280.49
