"age","totals","ï..Bronze.PPO.8700.0..8700..732B.","Bronze.Choice.PPO.6000.25..7000.w.H.S.A...733Y.","Bronze.PPO.6900.0..7000.w.H.S.A...731Y.","Silver.Choice.PPO.3500.20..7000.w.H.S.A...733M.","Silver.Choice.PPO.4000.50..8700..7347.","Silver.Choice.PPO.5000.30..9100..732V.","Silver.Choice.PPO.6000.30..8550..733W.","Silver.Choice.PPO.3000.30..9100..7323.","Silver.PPO.4500.10..6000.w.H.S.A..731W.","Silver.PPO.5500.50..8550..7333.","Silver.PPO.3000.20..7000.w.H.S.A...732J.","Silver.PPO.4000.20..9100..733K.","Silver.PPO.3500.30..9100..733V.","Silver.Choice.PPO.8000.40..8700..733S.","Gold.Choice.PPO.2000.20..6000..732Z.","Gold.Choice.PPO.1000.20..7350..733E.","Gold.Choice.PPO.1500.20..6000..7320.","Gold.Choice.PPO.500.20..7500..733T.","Gold.Choice.PPO.2500.20..5000..733C.","Gold.Choice.PPO.250.20..7500..733Z.","Gold.PPO.1500.20..5000..7327.","Gold.PPO.500.25..7000..7343.","Gold.PPO.2000.20..5000..733U.","Gold.PPO.1000.20..6500..7334."
"0 - 14",0,250.06,268.18,270.44,265.18,281.93,284.92,285.68,287.63,276.39,277.76,282.32,286.99,291.45,276.46,331.99,334.74,338.53,340.88,342.28,343.72,335.77,347.94,348.88,348.94
"15",0,272.29,292.02,294.47,288.75,306.99,310.24,311.08,313.2,300.96,302.45,307.41,312.5,317.36,301.03,361.5,364.5,368.62,371.18,372.71,374.28,365.62,378.87,379.89,379.96
"16",0,280.79,301.13,303.67,297.76,316.57,319.93,320.78,322.98,310.36,311.89,317.01,322.25,327.26,310.43,372.78,375.87,380.12,382.76,384.34,385.96,377.03,390.69,391.75,391.82
"17",0,289.29,310.25,312.86,306.78,326.15,329.61,330.49,332.75,319.75,321.33,326.6,332.01,337.17,319.82,384.06,387.25,391.63,394.35,395.98,397.64,388.44,402.52,403.6,403.68
"18",0,298.44,320.06,322.75,316.48,336.47,340.04,340.95,343.28,329.87,331.5,336.93,342.51,347.83,329.94,396.21,399.5,404.02,406.82,408.5,410.22,400.73,415.25,416.37,416.45
"19",0,307.59,329.88,332.65,326.19,346.79,350.47,351.41,353.81,339.98,341.67,347.27,353.02,358.5,340.06,408.37,411.75,416.41,419.3,421.03,422.8,413.02,427.99,429.14,429.22
"20",0,317.07,340.04,342.9,336.24,357.47,361.27,362.24,364.71,350.46,352.2,357.97,363.9,369.55,350.54,420.95,424.44,429.24,432.22,434.01,435.83,425.75,441.18,442.37,442.45
"21",0,326.88,350.56,353.51,346.64,368.53,372.44,373.44,375.99,361.3,363.09,369.04,375.15,380.98,361.38,433.97,437.57,442.52,445.59,447.43,449.31,438.92,454.82,456.05,456.13
"22",0,326.88,350.56,353.51,346.64,368.53,372.44,373.44,375.99,361.3,363.09,369.04,375.15,380.98,361.38,433.97,437.57,442.52,445.59,447.43,449.31,438.92,454.82,456.05,456.13
"23",0,326.88,350.56,353.51,346.64,368.53,372.44,373.44,375.99,361.3,363.09,369.04,375.15,380.98,361.38,433.97,437.57,442.52,445.59,447.43,449.31,438.92,454.82,456.05,456.13
"24",0,326.88,350.56,353.51,346.64,368.53,372.44,373.44,375.99,361.3,363.09,369.04,375.15,380.98,361.38,433.97,437.57,442.52,445.59,447.43,449.31,438.92,454.82,456.05,456.13
"25",0,328.19,351.96,354.92,348.03,370,373.93,374.93,377.49,362.75,364.54,370.52,376.65,382.5,362.83,435.71,439.32,444.29,447.37,449.22,451.11,440.68,456.64,457.87,457.95
"26",0,334.73,358.97,361.99,354.96,377.37,381.38,382.4,385.01,369.97,371.8,377.9,384.15,390.12,370.05,444.39,448.07,453.14,456.28,458.17,460.09,449.45,465.74,467,467.08
"27",0,342.57,367.39,370.48,363.28,386.22,390.32,391.37,394.04,378.64,380.52,386.75,393.16,399.27,378.73,454.8,458.57,463.76,466.98,468.91,470.88,459.99,476.65,477.94,478.02
"28",0,355.32,381.06,384.27,376.8,400.59,404.84,405.93,408.7,392.73,394.68,401.15,407.79,414.13,392.82,471.73,475.64,481.02,484.36,486.36,488.4,477.11,494.39,495.73,495.81
"29",0,365.78,392.28,395.58,387.89,412.39,416.76,417.88,420.73,404.29,406.3,412.96,419.79,426.32,404.38,485.61,489.64,495.18,498.62,500.67,502.78,491.15,508.94,510.32,510.41
"30",0,371.01,397.89,401.23,393.44,418.28,422.72,423.85,426.75,410.08,412.11,418.86,425.8,432.41,410.17,492.56,496.64,502.26,505.74,507.83,509.97,498.17,516.22,517.62,517.71
"31",0,378.85,406.3,409.72,401.76,427.13,431.66,432.82,435.77,418.75,420.82,427.72,434.8,441.56,418.84,502.97,507.14,512.88,516.44,518.57,520.75,508.71,527.14,528.56,528.65
