"age","totals","ï..ProminenceHMOBronzeHSA.7000","ProminenceHMOBronzeValueBased.9100","ProminenceHMOBronzeEnriched.9100","ProminenceHMOBronzeFreedomPlus.9100","ProminenceHMOSilverHSA.4000","ProminenceHMOSilverValueBased.8000","ProminenceHMOSilverEnriched.7500","ProminenceHMOSilverFreedomPlus.7500","ProminenceHMOGoldHSA.3000","ProminenceHMOGoldValueBased.2750","ProminenceHMOGoldAdvantage.4500","ProminenceHMOGoldEnriched.2500","ProminenceHMOGoldFreedomAdvantage.4500","ProminenceHMOGoldFreedomPlus.2500"
"0 - 14",0,187.03,190.62,197.02,200.69,204.59,212.1,215.64,220.01,229.56,242.36,246.92,251.6,251.64,256.22
"15",0,203.65,207.56,214.53,218.53,222.77,230.96,234.81,239.57,249.96,263.9,268.87,273.97,274.01,279
"16",0,210.01,214.04,221.23,225.35,229.73,238.17,242.14,247.04,257.77,272.13,277.26,282.52,282.56,287.71
"17",0,216.37,220.52,227.92,232.17,236.68,245.37,249.47,254.52,265.57,280.37,285.66,291.07,291.12,296.41
"18",0,223.21,227.5,235.14,239.52,244.17,253.14,257.36,262.57,273.97,289.24,294.69,300.28,300.33,305.79
"19",0,230.06,234.47,242.35,246.86,251.66,260.9,265.26,270.63,282.37,298.11,303.73,309.49,309.54,315.17
"20",0,237.15,241.7,249.82,254.47,259.41,268.94,273.43,278.97,291.08,307.3,313.09,319.03,319.08,324.88
"21",0,244.48,249.17,257.54,262.34,267.43,277.26,281.89,287.59,300.08,316.8,322.77,328.89,328.95,334.93
"22",0,244.48,249.17,257.54,262.34,267.43,277.26,281.89,287.59,300.08,316.8,322.77,328.89,328.95,334.93
"23",0,244.48,249.17,257.54,262.34,267.43,277.26,281.89,287.59,300.08,316.8,322.77,328.89,328.95,334.93
"24",0,244.48,249.17,257.54,262.34,267.43,277.26,281.89,287.59,300.08,316.8,322.77,328.89,328.95,334.93
"25",0,245.46,250.17,258.57,263.39,268.5,278.37,283.01,288.74,301.28,318.07,324.07,330.21,330.26,336.27
"26",0,250.35,255.15,263.72,268.64,273.85,283.91,288.65,294.5,307.28,324.41,330.52,336.79,336.84,342.97
"27",0,256.22,261.13,269.9,274.93,280.27,290.57,295.42,301.4,314.48,332.01,338.27,344.68,344.74,351.01
"28",0,265.75,270.85,279.95,285.16,290.7,301.38,306.41,312.61,326.18,344.37,350.86,357.51,357.56,364.07
"29",0,273.58,278.83,288.19,293.56,299.26,310.25,315.43,321.82,335.79,354.5,361.18,368.03,368.09,374.79
"30",0,277.49,282.81,292.31,297.76,303.54,314.69,319.94,326.42,340.59,359.57,366.35,373.29,373.35,380.15
"31",0,283.36,288.79,298.49,304.05,309.96,321.34,326.71,333.32,347.79,367.18,374.1,381.19,381.25,388.18
"32",0,289.22,294.77,304.67,310.35,316.37,328,333.47,340.22,354.99,374.78,381.84,389.08,389.14,396.22
"33",0,292.89,298.51,308.53,314.28,320.39,332.16,337.7,344.54,359.49,379.53,386.68,394.01,394.08,401.25
"34",0,296.8,302.5,312.66,318.48,324.66,336.59,342.21,349.14,364.29,384.6,391.85,399.28,399.34,406.61
"35",0,298.76,304.49,314.72,320.58,326.8,338.81,344.47,351.44,366.7,387.13,394.43,401.91,401.97,409.29
"36",0,300.71,306.48,316.78,322.68,328.94,341.03,346.72,353.74,369.1,389.67,397.01,404.54,404.6,411.96
"37",0,302.67,308.48,318.84,324.78,331.08,343.25,348.98,356.04,371.5,392.2,399.59,407.17,407.24,414.64
"38",0,304.63,310.47,320.9,326.88,333.22,345.46,351.23,358.34,373.9,394.74,402.18,409.8,409.87,417.32
"39",0,308.54,314.46,325.02,331.07,337.5,349.9,355.74,362.94,378.7,399.81,407.34,415.06,415.13,422.68
"40",0,312.45,318.45,329.14,335.27,341.78,354.34,360.25,367.55,383.5,404.88,412.51,420.33,420.39,428.04
"41",0,318.32,324.43,335.32,341.57,348.2,360.99,367.02,374.45,390.7,412.48,420.25,428.22,428.29,436.08
"42",0,323.94,330.16,341.24,347.6,354.35,367.37,373.5,381.06,397.6,419.77,427.68,435.78,435.85,443.78
"43",0,331.76,338.13,349.48,356,362.91,376.24,382.52,390.27,407.21,429.9,438,446.31,446.38,454.5
"44",0,341.54,348.1,359.79,366.49,373.6,387.33,393.8,401.77,419.21,442.58,450.92,459.46,459.54,467.9
"45",0,353.03,359.81,371.89,378.82,386.17,400.36,407.04,415.29,433.31,457.47,466.09,474.92,475,483.64
"46",0,366.73,373.76,386.31,393.51,401.15,415.89,422.83,431.39,450.12,475.21,484.16,493.34,493.42,502.4
"47",0,382.13,389.46,402.54,410.04,418,433.36,440.59,449.51,469.02,495.16,504.5,514.06,514.14,523.5
"48",0,399.73,407.4,421.08,428.93,437.25,453.32,460.88,470.22,490.63,517.97,527.74,537.74,537.83,547.61
"49",0,417.09,425.09,439.37,447.55,456.24,473,480.9,490.64,511.93,540.47,550.65,561.09,561.18,571.39
"50",0,436.65,445.03,459.97,468.54,477.64,495.18,503.45,513.64,535.94,565.81,576.47,587.4,587.5,598.19
"51",0,455.96,464.71,480.32,489.27,498.76,517.09,525.72,536.36,559.65,590.84,601.97,613.39,613.48,624.65
"52",0,477.23,486.39,502.72,512.09,522.03,541.21,550.24,561.38,585.75,618.4,630.06,642,642.1,653.78
"53",0,498.75,508.32,525.38,535.18,545.56,565.61,575.05,586.69,612.16,646.28,658.46,670.94,671.05,683.26
"54",0,521.97,531.99,549.85,560.1,570.97,591.95,601.83,614.01,640.67,676.38,689.12,702.19,702.3,715.08
"55",0,545.2,555.66,574.32,585.02,596.38,618.29,628.61,641.33,669.17,706.47,719.79,733.43,733.55,746.9
"56",0,570.38,581.32,600.84,612.04,623.92,646.84,657.64,670.96,700.08,739.1,753.03,767.31,767.43,781.39
"57",0,595.81,607.24,627.63,639.32,651.74,675.68,686.96,700.87,731.29,772.05,786.6,801.51,801.64,816.23
"58",0,622.94,634.9,656.22,668.44,681.42,706.45,718.25,732.79,764.6,807.22,822.43,838.02,838.15,853.4
"59",0,636.39,648.6,670.38,682.87,696.13,721.7,733.75,748.61,781.1,824.64,840.18,856.11,856.25,871.82
