"age","totals","ï..ProminenceBronzePPOHSA","ProminenceBronzePPO","ProminenceSilverPPOHSA","ProminenceSilverPPO","ProminenceGoldHSA","ProminencePPOGoldAdvantage","ProminencePPOGold","ProminencePointofServicePOSGold"
"0 - 14",0,208.58,219.98,227.74,241.05,256.48,274.21,279.23,287.37
"15",0,227.13,239.54,247.98,262.48,279.27,298.58,304.05,312.91
"16",0,234.21,247.01,255.72,270.67,287.99,307.9,313.54,322.68
"17",0,241.3,254.49,263.46,278.86,296.71,317.22,323.03,332.44
"18",0,248.94,262.54,271.8,287.68,306.1,327.25,333.26,342.96
"19",0,256.57,270.59,280.13,296.51,315.48,337.29,343.48,353.48
"20",0,264.48,278.93,288.77,305.64,325.21,347.69,354.06,364.37
"21",0,272.66,287.56,297.7,315.1,335.26,358.44,365.01,375.64
"22",0,272.66,287.56,297.7,315.1,335.26,358.44,365.01,375.64
"23",0,272.66,287.56,297.7,315.1,335.26,358.44,365.01,375.64
"24",0,272.66,287.56,297.7,315.1,335.26,358.44,365.01,375.64
"25",0,273.75,288.71,298.89,316.36,336.6,359.87,366.47,377.15
"26",0,279.2,294.46,304.84,322.66,343.31,367.04,373.77,384.66
"27",0,285.75,301.36,311.99,330.22,351.36,375.64,382.53,393.67
"28",0,296.38,312.58,323.6,342.51,364.43,389.62,396.77,408.32
"29",0,305.11,321.78,333.12,352.59,375.16,401.09,408.45,420.34
"30",0,309.47,326.38,337.89,357.64,380.52,406.83,414.29,426.35
"31",0,316.01,333.28,345.03,365.2,388.57,415.43,423.05,435.37
"32",0,322.56,340.18,352.18,372.76,396.62,424.03,431.81,444.39
"33",0,326.65,344.5,356.64,377.49,401.65,429.41,437.28,450.02
"34",0,331.01,349.1,361.4,382.53,407.01,435.15,443.12,456.03
"35",0,333.19,351.4,363.79,385.05,409.69,438.01,446.04,459.04
"36",0,335.37,353.7,366.17,387.57,412.37,440.88,448.96,462.04
"37",0,337.55,356,368.55,390.09,415.06,443.75,451.88,465.05
"38",0,339.73,358.3,370.93,392.61,417.74,446.62,454.8,468.05
"39",0,344.1,362.9,375.69,397.65,423.1,452.35,460.64,474.06
"40",0,348.46,367.5,380.46,402.69,428.47,458.09,466.48,480.07
"41",0,355,374.4,387.6,410.26,436.51,466.69,475.24,489.09
"42",0,361.27,381.02,394.45,417.5,444.22,474.93,483.64,497.73
"43",0,370,390.22,403.98,427.59,454.95,486.4,495.32,509.75
"44",0,380.91,401.72,415.88,440.19,468.36,500.74,509.92,524.77
"45",0,393.72,415.24,429.88,455,484.12,517.59,527.08,542.43
"46",0,408.99,431.34,446.55,472.65,502.9,537.66,547.52,563.46
"47",0,426.17,449.46,465.3,492.5,524.02,560.24,570.51,587.13
"48",0,445.8,470.16,486.74,515.18,548.16,586.05,596.79,614.18
"49",0,465.16,490.58,507.87,537.56,571.96,611.5,622.71,640.85
"50",0,486.97,513.58,531.69,562.76,598.78,640.17,651.91,670.9
"51",0,508.51,536.3,555.21,587.66,625.27,668.49,680.75,700.57
"52",0,532.23,561.32,581.11,615.07,654.43,699.67,712.5,733.25
"53",0,556.23,586.62,607.3,642.8,683.94,731.22,744.62,766.31
"54",0,582.13,613.94,635.58,672.73,715.79,765.27,779.3,802
"55",0,608.03,641.26,663.87,702.67,747.64,799.32,813.97,837.68
"56",0,636.11,670.88,694.53,735.12,782.17,836.24,851.57,876.37
"57",0,664.47,700.79,725.49,767.89,817.04,873.52,889.53,915.44
"58",0,694.74,732.7,758.53,802.87,854.25,913.3,930.05,957.14
"59",0,709.73,748.52,774.91,820.2,872.69,933.02,950.12,977.8
"60",0,740,780.44,807.95,855.17,909.91,972.8,990.64,1019.49
"61",0,766.17,808.05,836.53,885.42,942.09,1007.21,1025.68,1055.56
"62",0,783.35,826.16,855.29,905.27,963.21,1029.8,1048.68,1079.22
"63",0,804.89,848.88,878.8,930.17,989.7,1058.11,1077.51,1108.9
"64",0,817.98,862.68,893.09,945.29,1005.79,1075.32,1095.03,1126.93
"65+",0,817.98,862.68,893.09,945.29,1005.79,1075.32,1095.03,1126.93
